rule_id,symptoms_required,suggested_disease,confidence,urgency,animal
R001,fever+mouth_sores+limping,Foot and Mouth Disease,85,high,cow
R002,skin_nodules+fever,Lumpy Skin Disease,80,high,cow
R003,udder_swelling+milk_low,Mastitis,88,high,cow
R004,fever+cough+breathing_difficulty,Pneumonia,75,high,cow
R005,limping+swelling,Foot Rot,70,medium,cow
R006,diarrhea+weakness,Bovine Viral Diarrhea,65,medium,cow
R007,bloat+breathing_difficulty,Bloat,85,high,cow
R008,abortion+weakness,Brucellosis,70,high,cow
R009,heat_stress+breathing_difficulty,Heat Stress,80,medium,buffalo
R010,fever+swelling+sudden_death,Hemorrhagic Septicemia,90,critical,buffalo
R011,fever+nasal_discharge+diarrhea,PPR,82,critical,goat
R012,bloody_diarrhea+weakness,Coccidiosis,75,high,goat
R013,sudden_death+convulsions,Enterotoxemia,88,critical,goat
R014,fever+mouth_sores+limping,Bluetongue,80,critical,sheep
R015,sudden_death+twisted_neck,Newcastle Disease,90,critical,chicken
R016,bloody_diarrhea+weakness,Coccidiosis,80,high,chicken
R017,sudden_death+swollen_head,Avian Influenza,92,critical,chicken
R018,bloody_diarrhea+vomiting,Parvovirus,88,critical,dog
R019,aggression+foaming,Rabies,95,critical,dog
R020,cough+nasal_discharge,Kennel Cough,70,medium,dog
